raw_character_text,normalized_text
Marge Simpson,dont gloat homer you know bart when i was your age the one thing i wanted more than anything in the world was a child-sized electric lightbulb oven my parents wouldnt give me the money so i went to my sisters patty and selma
Marge Simpson,for months i worked and worked while my sisters smoked and smoked
Marge Simpson,but the big day finally came and because id worked for it all those lightbulb-warmed treats always tasted extra-good
Bart Simpson,aw mom i couldnt ask you to do that youre already taking care of maggie and lisa is such a handful --
Bart Simpson,oh this is so humiliating i feel like such a geek
Bart Simpson,terrible cars slow down to laugh at me but no ones buying
Bart Simpson,lemonade sucks i need a new product lets see ah
Bart Simpson,form a line no crowding cheap beer and a sympathetic ear step right up
Bart Simpson,say writing all those tickets must make you guys thirsty how about a couple on the house
Marge Simpson,the poor boy is so desperate he wants to earn money to buy a comic book
Bart Simpson,ugh i think id rather just get to work maam
Bart Simpson,not yet but at least im in a lot of pain
Marge Simpson,well i think what youre doing for mrs glick is very nice the poor old thing doesnt have anybody
Bart Simpson,some old lady thing nobodys heard about for fifty years
Bart Simpson,last night i dreamed i held you in my arms
Bart Simpson,no no not the iodine burn the germs off with a torch amputate my arm but not the -- yaaauuuggghhh
Bart Simpson,listen lady i can leave without screaming and i can leave without saying a bad word but theres no way that i am saying thank you
Bart Simpson,ive been bustin my hump all week for that withered old clam and all i got was fifty cents
Homer Simpson,hey when i was your age fifty cents was a lot of money
Bart Simpson,dad ive done everything i could and ive only got thirty-five bucks ugh i am through with working working is for chumps
Homer Simpson,son im proud of you i was twice your age before i figured that out
Bart Simpson,wait a minute martin if you milhouse and i went in together we could buy a copy of radioactive man no 1 right now
Bart Simpson,look pal weve got a hundred bucks and wed like to buy radioactive man no 1 so why dont you just waddle over there and get it
Bart Simpson,uh-oh looks like rain we better get this baby home
Bart Simpson,listen you guys are welcome to come over and read it any time you like
Bart Simpson,uh uh uh ah nice try martin it almost worked but tonight this comic book stays right here
Bart Simpson,fine were all going to stay here with the comic book itll be like a sleep-over yeah a sleep-over thats what pals do right real friendly-like
Bart Simpson,i knew it youre both against me well nobody makes a sap out of bartholemew j simpson
Marge Simpson,i thought you boys might like some milk and microwave smores
Bart Simpson,yeah right so do i but you dont see me gettin up
Bart Simpson,our dear friend martin was trying to steal the comic book
Bart Simpson,quiet piggy or well stick an apple in your mouth we cant take any chances well have to take turns watching him
Bart Simpson,oh so thats your little game let old bart get nice and drowsy then when his back is turned wham
Marge Simpson,homer its really coming down could you check on the boys
Bart Simpson,milhouse its not that far to the ground and the rain has probably softened it up a bit
Marge Simpson,boys you better come in the house you dont want to get the sniffles
Marge Simpson,now come on you can play your little tie-up game inside ive got some cocoa on the stove who wants imitation marshmallows
Bart Simpson,we worked so hard and now its all gone we ended up with nothing because the three of us cant share
Homer Simpson,jokes on them if the core explodes there wont be any power to light that sign
Homer Simpson,i cant believe you guys theres a human being out there with millions of dollars who needs our help and you dont wanna cash in thats why you losers are stuck in this crummy dead end job
Marge Simpson,lisa we did the best we could whats a zebu
Homer Simpson,aw nuts extremely rare blood and i dont have it
Marge Simpson,i dont want you wearing rings it looks cheap but three
Marge Simpson,oh homie you have lots of hair why did you want to know your blood type
Homer Simpson,aw old man burns is gonna kick off if he doesnt get some double-o-negative blood but nobody at the plant has it
Homer Simpson,woo yes all right woo congratulations boy youve got a date with a needle
Bart Simpson,hey wait a minute i dont have to give blood i have rights you know
Marge Simpson,bart you have to help someone in need its the only decent thing to do
Homer Simpson,bart its not like im asking you to give blood for free that would be crazy youre a little young to understand this but when you save a rich mans life he showers you with riches dont you know the story of hercules and the lion
Homer Simpson,yeah probably anyway once upon a time there was a big mean lion who got a thorn in his paw and all the village people tried to pull it out but nobody was strong enough so they got hercules and hercules used his mighty strength and bingo anyway the moral is the lion was so happy he gave hercules this big thing of riches
Homer Simpson,bill bill summons bill wait a minute from cm burns is this it yes this is it woo-hoo woo
Homer Simpson,marge lisa maggie lets do this out in the yard where the neighbors can see
Homer Simpson,lisa dim the lights no turn on more lights but do something
Homer Simpson,its a little thin but thats okay could be a check
Homer Simpson,all right theres no check just a card but dont panic im sure it tells us what were getting and where we can pick it up dear bart thank you kindly for the blood yours truly montgomery burns its just a card
Homer Simpson,this is some way to show your gratitude no gold no diamonds no rubies not even a lousy card wait a minute there was a card thats what got me so mad in the first place
Marge Simpson,homer you dont do things like that to be rewarded you do them because a fellow human being needs a helping hand
Homer Simpson,marge youre my wife and i love you very much but youre living in a world of make-believe with flowers and bells and leprechauns and magic frogs with funny little hats
Marge Simpson,we got exactly what we wanted out of this we gave an old man a second chance
Homer Simpson,i promised my boy one simple thing lots of riches and that man broke my promise well ive had it bart take a letter
Homer Simpson,dear mr burns im so glaaad you enjoyed my sons blood and your caard was just great in case you cant tell im being sarcastic you stink could you read that last part back to me
Homer Simpson,good you are a senile buck-toothed old mummy with bony girl arms and you smell like
Marge Simpson,but hes your boss do you have to mail it right this minute
Marge Simpson,youre still angry homer why dont you sleep on it
Homer Simpson,oh all right you always do that hand thing and it usually works
Homer Simpson,oh marge you saved me from making a big mistake yknow i finally understand the meaning of mmphm hnmph
Homer Simpson,well its somewhere it didnt just get up and walk away
Homer Simpson,all right think very carefully where did you see it last
Bart Simpson,dad there were things in the letter that had to be said and i know you youre an emotional guy just because you were mad last night is no guarantee youd be mad in the morning so i
Homer Simpson,shes right okay think homer dont panic they dont pick up the mail till noon theres still time
Homer Simpson,locked eh well i just might have a little surprise up my sleeve for old mr lock step aside boy
Homer Simpson,what does it look like ill get our letter so wet the ink will run and no one will be able to read it
Homer Simpson,so a few people wont get a few letters boo-hoo you know the kinda letters people write dear somebody-you-never-heard-of how is so-and-so blah blah blah blah blah blah blah yours truly some bozo big loss
Homer Simpson,now bart you keep an eye out for the mailman just give me some kind of signal
Homer Simpson,uh uh i-i guess it wouldnt do any good to run cause youre our mail lady and you know my name and address and everything huh
Homer Simpson,hello my name is mr burns i believe you have a letter for me
Homer Simpson,lisa i dont know what youre doing but its very strange and your father is trying to worry
Homer Simpson,twenty eight minutes till burns comes time for operation mail take
Bart Simpson,they always told me i was gonna destroy the family but i never believed it
Homer Simpson,hey cmon joey do you have to twist my arm
Homer Simpson,oh ive never seen mr burns this mad and hes always kinda mad
Marge Simpson,honey whats done is done no matter what happens well pull through we always do
Homer Simpson,okay heres the plan you can move in with your sisters and raise the kids and ill die in a gutter its practical and within our means
Homer Simpson,what did i tell you ill bet its filled with diamonds rubies sapphires pearls
Homer Simpson,save a guys life and whattaya get nothin worse than nothin just a big scary rock
Marge Simpson,homer its the thought that counts the moral of this story is a good deed is its own reward
Marge Simpson,well then i guess the moral is no good deed goes unrewarded
Homer Simpson,wait a minute if i hadnt written that nasty letter we wouldnt have gotten anything
Marge Simpson,well then i guess the moral is the squeaky wheel gets the grease
Bart Simpson,well enjoy it while you can everything changes when you hit the big one-oh your legs start to go candy doesnt taste as good anymore --
Bart Simpson,sorry this old timer does ramble on sometimes dont he
Bart Simpson,okay uh-huh okay okay okay okay okay okay its done im doing it birthday gift coming your way
Homer Simpson,marge i cant wear a pink shirt to work everybody wears white shirts im not popular enough to be different
Marge Simpson,now homer dont panic you have plenty of white shirts
Homer Simpson,oh no pink pink pink its all over marge its all over
Marge Simpson,homer please no ones going to notice if you wear a pink shirt to work
Homer Simpson,mmm thanks -- it looks hey wait a minute just because im wearing a pink shirt it doesnt mean im some kind of a pink doughnut-eater although it is tempting --
Homer Simpson,you dont understand my son just threw his red hat in with the white laundry
Marge Simpson,homer this is an intimate psychological profile i cant fill this out for you
Homer Simpson,all right all right ill get lisa to do it
Homer Simpson,lisa you like homework could you fill out this form for me
Homer Simpson,son its no different than the time i let you vote for me remember that absentee ballot
Homer Simpson,yes im hearing one right now while im trying to watch tv
Bart Simpson,yes do you wet your pants well even the best of us has an occasional accident
Homer Simpson,thats a spill on a floor with bugs goin after it theyre gonna eat it
Homer Simpson,the boy this isnt fair how can you tell whos sane and whos insane
Homer Simpson,oh of course ive heard of you i mean youd have to be living under a rock not to know -- whatd you say your name was
Homer Simpson,wow how do you do that thing with your feet
Bart Simpson,hey you want that once a year empty gesture you got it sis
Homer Simpson,hey michael i dont get it these guys seem as normal as you and me
Homer Simpson,oh this is so embarrassing calling em from a nut house i mean they think im a god
Homer Simpson,oh great and uh try to put a good face on this tell them this is one of those places where rich women lose weight
Bart Simpson,aw come on if youre really michael jackson who were your last four dates for the grammys
Bart Simpson,shiver me timbers you are michael jackson can you stay on the line while i get all my friends and relatives
Bart Simpson,well theres probably a down-size i dont see uh-huh new bedlam asylum loves us needs us fears he may never see us again got it michael jackson whoo-hoo i love you man
Marge Simpson,i told you kids you were going to send your father to the crazy house
Homer Simpson,this place is so strange mike im ashamed to admit it to another guy but im scared
Marge Simpson,doctor if you just talked to him for five minutes without mentioning our son bart youd see how sane he is
Homer Simpson,thats the most flattering thing anyone has ever said to me could i have it in writing please
Homer Simpson,thanks a lot michael you really helped me get through this if you ever find your marbles come visit us
Homer Simpson,boy when i get home im going to wrap my hands around your neck --
Homer Simpson,now listen im bringing michael jackson home to stay with us for a few days isnt that cute -- hes heard of you now make sure we have plenty of cold cuts and put some beer on ice
Bart Simpson,yes dad i solemnly swear i will not tell another living soul no not even milhouse
Bart Simpson,oh well who cares michael jackson is coming to my house
Bart Simpson,you know maybe you should trust that instinct and not ask
Bart Simpson,hey looney tunes this is what michael jackson looks like you look like a big fat mental patient
Bart Simpson,wait wait michael you go sit at the piano and ill boil some coffee
Bart Simpson,lisa her teeth are big and green lisa she smells like gasoline lisa da da da deesa she is my sis-ta her birthday i missed-ta
Bart Simpson,thats right hope you like your present and a-one and a-two and a one two three four --
Bart Simpson,lisa its your birthday happy birthday lisa lisa its your birthday happy birthday lisa
Bart Simpson,lisa its your birthday happy birthday lisa lisa its your birthday happy birthday lisa
Homer Simpson,stupid junk mail you may have already won yeah win this heres good news for homer simpsoy ill see that he gets it how dumb do they think i am
Homer Simpson,i had a feeling it was too good to be true every time you get a million dollars something queers the deal
Marge Simpson,well at least we got a free sample of reading digest
Homer Simpson,marge i never read a magazine in my life and im not gonna start now
Homer Simpson,well dear you always wanted a compact -- aint it the truth
Marge Simpson,no it is not the truth homer its well documented that women are safer drivers than men
Homer Simpson,oh marge cartoons dont have any deep meaning theyre just stupid drawings that give you a cheap laugh
Homer Simpson,as tolstoy said in quotable notables give me learning sir and you may keep your black bread
Homer Simpson,marge look at them staring at that idiot box god forbid they would ever read something and improve their minds
Homer Simpson,its not just one magazine marge they take hundreds of magazines filter out the crap and leave you with something that fits right in your front pocket
Homer Simpson,were all gonna sit down as a family and listen to an inspiring story of wilderness survival
Homer Simpson,then i heard the sound that all arctic explorers dread the pitiless bark of the sea lion hell be killed
Marge Simpson,homer he obviously got out alive if he wrote the article
Homer Simpson,that reminds me seven ways to spice up your marriage
Homer Simpson,marge you have a nice body and if youd like to see me in a costume you have only to ask
Homer Simpson,where do you think this baby never steers you wrong and it was free free
Homer Simpson,wow win a trip to washington dc all expenses paid vip tour oh its for kids
Marge Simpson,bart maybe this is something youd like to do too
Bart Simpson,mom its a nice thought but we both know that this is the pony to bet on
Marge Simpson,well when i used to get stuck like this id go for a bike ride do kids go on bike rides anymore
Marge Simpson,i dont know i thought maybe bikes werent cool anymore do kids still use that word cool
Homer Simpson,woo hoo who wouldve guessed reading and writing would pay off
Homer Simpson,playing cards notepad aspirin sewing kit pilots wing pin propellor-shaped swizzle stick sleeping mask and anything else ive got coming to me
Homer Simpson,look marge that guy has the same last name we do taxi
Marge Simpson,homer look they give you a shower cap and body gel and bathrobes ooh and a welcoming mint on your pillow
Homer Simpson,shoe goes on shoe goes off shoe goes on shoe goes off shoe goes on shoe goes off
Bart Simpson,really you want that one its all yours whatever you say
Homer Simpson,ooh i love your magazine my favorite section is how to increase your word power that thing is really really really good
Homer Simpson,bart are you ready to go to ill room service you
Bart Simpson,before you kill me remember this trip is all expenses paid
Homer Simpson,yeah your other speech was a little more crowd pleasin
Marge Simpson,no that was about the budget gap this is the trading gap
Bart Simpson,lis you taught me to stand up for what i believe in
Marge Simpson,hes trying to be friendly you know if you gave ned flanders a chance --
Homer Simpson,oh here we go again look i dont care if ned flanders is the nicest guy in the world hes a jerk end of story
Marge Simpson,we cant hold it against him just because he has things a little better than we do --
Homer Simpson,excuse me better thanks a lot marge you really put me in my place
Homer Simpson,dont get me wrong its worth feeling three inches tall to find out what kind of a person you really are marge simpson president of the international we love flanders fan club
Marge Simpson,hi ned homer sends his apologies but uh there was some important work at the plant that only he could take care of
Homer Simpson,stupid flanders always showing off go ahead marge have a ball what if they game back and i was dead from not eating theyd cry their eyes out we should have never gone to the flanders oh why did we go to the flanders house and leave homer all alone with no food and id be laughing laughing from my grave
Homer Simpson,hey everyone im back great to see ya nice seein ya
Homer Simpson,the fly was funny and a booger was the icing on the cake
Homer Simpson,fun where is this store flanders the merry old land of oz
Homer Simpson,keep your pants on flanders im wishing as fast as i can
Homer Simpson,yesssss oh yessss read it and weep in your face ive got more chicken bone
Marge Simpson,bart how many hours a day do you watch tv
Marge Simpson,dont you think you should get a little fresh air and maybe some exercise
Homer Simpson,marge tv gives so much and asks so little its a boys best friend
Marge Simpson,thats the problem even as we speak millions of children are staring at the tv instead of getting some much-needed exercise those childrens parents should be ashamed of themselves
Bart Simpson,hey mom how bout if i learn karate will that we make you happy
Homer Simpson,see marge you knock tv and then it helps you out i think you owe somebody a little apology
Bart Simpson,um excuse me sir i already know how not to hit a guy can we break out the nunchucks
Bart Simpson,akira my good man when do we break blocks of ice with our heads
Bart Simpson,come on touch of death touch of death touch of death
Homer Simpson,im telling you flanders store was dee-serted so what do you think of your bestest buddy now marge
Homer Simpson,no i do not know what schadenfreude is please tell me because im dying to know
Homer Simpson,oh come on lisa im just glad to see him fall flat on his butt hes usually all happy and comfortable and surrounded by loved ones and it makes me feel whats the opposite of that shameful joy thing of yours
Marge Simpson,so bart what did you learn in karate school today
Homer Simpson,yeah come on boy this better be worth my ten bucks
Bart Simpson,permit me to demonstrate lisa shut your eyes soon you will be at peace
Marge Simpson,bart dont use the touch of death on your sister
Bart Simpson,all right comin through outta my way move it along step aside lady
Bart Simpson,today we learned how to rip a mans heart out and show it to him before he dies
Homer Simpson,lousy he just sits there all day hed have a great job if he didnt own the place
Bart Simpson,i grow weary of this new channel change it back
Homer Simpson,apple apple apple come on candy bar hey i know you youre that first apple i didnt want that sinks it im really gonna let em have it this time
Homer Simpson,oh i get it its not good enough for you but its good enough for me well i wouldnt be caught dead buying this hello
Homer Simpson,you were swindled my friend twenty bucks take it or leave it
Homer Simpson,sorry no cash for neddie homer keep all money bye bye neddie bye bye
Homer Simpson,i changed my mind it was a passing fancy although perhaps if you threw in a few lawn chairs maybe that tool bench it might rekindle my interest
Marge Simpson,homer this is the flanders entire living room set how much did you pay for this
Homer Simpson,oh i know i need to pay them but theres just so many
Homer Simpson,i know but wait a minute im homer simpson ned flanders lives over there
Homer Simpson,knock em dead boy kids gonna be a black belt in no time
Homer Simpson,oh flanders i uh want to give you your stuff back
Homer Simpson,hello jerry homer simpson remember last month when i paid back that loan well now i need you to do a favor for me
Homer Simpson,to ned flanders the richest left- handed man in town
Bart Simpson,why shouldnt i be happy its a beautiful day my homework is done ive got my mojo workin and were goin on a field trip this afternoon
Bart Simpson,and looks like i got me a genuine glow-in-the-dark police badge
Homer Simpson,hey look what i got a genuine official police badge calling all cars come out with your hands up
Bart Simpson,but im only five ten twenty forty minutes thats pretty damn late
Bart Simpson,oh i dunno mixing drinks picking horses cuttin cigars you know -- a job
Marge Simpson,bart your father and i dont want you doing that homer say something
Bart Simpson,theyre not mine my boss said his warehouse was full
Homer Simpson,yeah right son im gonna teach you a lesson im going to stand here and watch you smoke every one of those cigarettes then maybe youll learn
Bart Simpson,i dont think so although it would explain an awful lot
Bart Simpson,those fingers through my hair that sly come hither stare that strips my conscience bare its witchcraft - gimme three fingers of milk ma
Marge Simpson,i know its good for a boy to have a part-time job but im not sure about the people barts working for i thinks theyre criminals
Homer Simpson,a jobs a job i mean take me if my plant pollutes the water and poisons the town by your logic that would make me a criminal
Marge Simpson,well barts been acting very strangely and that pizza delivery truck has been parked across the street for two weeks
Marge Simpson,homer i want you to go down to that club and talk to them just see what kind of people they are please homie
Homer Simpson,hee hee hee-hee-hee read em and weep boys another pair of sixes
Homer Simpson,you know if you need a hat check girl ive got a daughter
Homer Simpson,marge the only thing going on down there was a lot of male bonding
Bart Simpson,of course im late for work how can i be on time when principal skinner keeps me after school
Bart Simpson,thats not true its just a rumor youre engaged in speculation i know the law you cant prove anything
Marge Simpson,oh bart why couldnt you have gotten a paper route like other boys
Homer Simpson,well not the leader i mean oh its true its true all the pieces fit
Bart Simpson,sorry fat tony i used to think your gang was cool but now i learned that crime doesnt pay
Marge Simpson,well they said they changed it just enough so they dont have to pay us
Homer Simpson,you know who the real crooks are those sleazy hollywood producers
Homer Simpson,heres good news according to this eye-catching article sat scores are declining at a slower rate
Homer Simpson,hey this is the only paper in america thats not afraid to tell the truth that everything is just fine
Bart Simpson,aw milhouse just cuz your mom didnt let you have a party doesnt mean you cant get a present
Bart Simpson,theyre official krusty the clown walkie-talkies ill keep one and you keep one now whenever you want to talk to me just call me on the phone and tell me to turn on my walkie-talkie
Bart Simpson,you did have a party you didnt invite me and i thought we were best friends
Homer Simpson,what a movie and that blonde cutie does she have assets
Homer Simpson,critical wha okay okay dont panic whosever problem this is im sure they know how to handle it
Bart Simpson,my best friend shafted me ill never get over this otto-man
Homer Simpson,gotta think gotta think okay somewhere theres a thingee that tells you how to work this stuff the um the uh the manual the manual right
Homer Simpson,uh-huh its as fat as a phone book congratulations on your purchase of a fissionator 1952 slow fission reactor get to the point man ooh whats this
Homer Simpson,whod have thought a nuclear reactor would be so complicated
Homer Simpson,i dont understand anything when they look up stupid in the dictionary therell be a picture of me
Marge Simpson,dear lord if you spare this town from becoming a smoking hole in the ground ill try to be a better christian i dont know what i can do ummm oooh the next time theres a canned food drive ill give the poor something theyd actually like instead of old lima beans and pumpkin mix
Homer Simpson,this is all your fault okay gotta pick a button pick a button pick a button uh one potato two potato three potato four no wait bubble gum bubble gum in a dish how many pieces do you wish no no
Homer Simpson,eenie meenie minee moe catch a tiger by the toe if he hollers let him go eenie meenie minee moe
Bart Simpson,now were even for your party cmon lets go play
Bart Simpson,bad influence my ass how many times have i told you never listen to your mother
Homer Simpson,hey you know boys a nuclear reactors a lot like a woman you just have to read the manual and press the right button
Homer Simpson,uh magic what if people think a guys a hero but he was really just lucky
Bart Simpson,nah im just depressed milhouses mom wont let me play with him any more
Marge Simpson,homer did you go out and buy a twenty pound ham and whats all this
Marge Simpson,for heroic competence for narrowly averting a melt-down and proving without question that nuclear power is completely safe employee-of-the-month ohh homer
Homer Simpson,look i get enough admiration and respect at work i dont need it here at home
Homer Simpson,it tastes so bitter its like ashes in my mouth
Homer Simpson,that four-eyes with the big nose you dont need friends like that
Homer Simpson,oooh right next to the boss eh hell never know who did it
Bart Simpson,ah ive won second prize in a beauty contest collect ten bucks
Marge Simpson,i think that game is too old for her why dont you go play with milhouse
Bart Simpson,its his mom she says im a bad influence cmon maggie lets go throw rocks at that hornets nest
Marge Simpson,mrs van houten im barts mother -- we met in the emergency room when the boys drank paint
Marge Simpson,look i know bart can be a handful but i also know what hes like inside hes got a spark its not a bad thing of course it makes him do bad things
Marge Simpson,well i cant defend everything he does but lets face it all bart and milhouse have is each other theyre too young for girls and theyre a popular target for bullies and in the christmas pageant theyre always sheep please please let them be friends
Homer Simpson,what am i gonna do what am i gonna do
Bart Simpson,really we can be friends again did your mom die
Bart Simpson,who cares milhouse ill be right there sorry maggie games over
Marge Simpson,well i knew his mother would come to her senses
Homer Simpson,eeenie meenie minee moe catch a tiger by the toe if he hollers let him go eenie meenie minee moe
Marge Simpson,oh dear this is the fifth time hes cancelled how can he hurt someone who loves him so
Bart Simpson,okay milhouse how many krusty autographs should i put you down for
Bart Simpson,youre walking along the street or youre at a party or else youre alone and then you suddenly dig dig dig
Marge Simpson,sweetie im sorry but krusty isnt coming to dinner again
Bart Simpson,dear krusty this is bart simpson krusty buddy 16302 respectfully returning his badge
Bart Simpson,i always suspected that nothing in life mattered now i know for sure get bent bart simpson
Marge Simpson,ive got some good news krusty the clown is coming to dinner tonight
Homer Simpson,hey krusty are you gonna finish that meatloaf or what
Marge Simpson,krusty why dont you tell us whats wrong youll feel better
Bart Simpson,dont worry i dont even like using the bathroom after you
Bart Simpson,oh great we came all this way and its the wrong guy
Bart Simpson,reverend lovejoy we need you to help us find a rabbi
Bart Simpson,well put them on later now can you give us the rabbis address
Bart Simpson,hell be so happy hell be crying in his beard
Bart Simpson,hello my names dimitri im a first time caller long time listener
